Response ID,Include/Exclude,Date submitted,Last page,Start language,Date started,Date last action,What is your primary specialty-,What is your primary specialty- [Other],What is your rank-,What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.),What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.) [Other],How would you describe your current billet-,How would you describe your current billet- [Other],"For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS-","For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS- [Other]","On a scale of 1 to 5, with 1 being not transparent and 5 being very transparent, how would you rate the transparency of your detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 being unsatisfied and 5 being very satisfied, how would you rate your overall detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 representing a significant problem and 5 being not a problem at all, how would you rank the problem of favoritism in the billet assignment process-",Describe your current assignment:,"Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 1]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 2]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 3]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 4]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 5]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 6]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 7]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 8]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 9]",Which career path do you want to pursue in the next 5-10  years-,Which career path do you want to pursue in the next 5-10  years- [Other],"Neither the Army nor the Air Force have physicians in the detailer role.  Instead, they have nurses or medical administrators work with specialty leaders to determine assigments.  This is different from the current Navy Medical Corps billet assignment process where the detailer is a physician*.  Would you approve if the detailer position was filled by a non-physician-",How long should an individual be allowed to remain at one command-,"Do you think that there is a problem in the Medical Corps with members not moving-  That is, are there too many physicians who get to stay in one place too long-","Civilian medical residency positions are assigned using the National Residency Match Program where members submit a preference list, residency directors submit a preference list, and a computer algorithm optimizes a match.  This is different from the current Navy Medical Corps billet assignment process where the detailer and specialty leader take input from medical officers and then make a decision.  Of these two options, which would you prefer for your military billet assignment-","The later the match day, the more information one has before creating their rank list.  The earlier the match day, the sooner one can have certainty and prepare.  Assuming your were scheduled to execute new orders in July of 2017, what month would you want the match to occur in-",Do you think members who are coming from operational or OCONUS assignments should be given preference in billet assignment-,Do you think members with more seniority (as defined by time in service or rank) should be given preference in billet assignment-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,I,8/23/16 13:23,4,en,8/23/16 13:17,8/23/16 13:23,Family Medicine,,CAPT or Flag,2014,,OCONUS Operational,,2-4 months,,3,4,,2nd choice,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Europe,Southern California,National Capital Region,Northeast,Middle East or Africa,Executive Medicine,,No,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,I,8/23/16 13:26,4,en,8/23/16 13:21,8/23/16 13:26,Radiology,,LCDR,2016,,CONUS MTF,,> 4 months,,4,4,3,2nd choice,"Pacific (Hawaii, Guam, Japan)",Europe,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Southern California,Pacific Northwest,Northeast,Middle East or Africa,National Capital Region,Mixed,,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Jul-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,I,8/23/16 13:32,4,en,8/23/16 13:22,8/23/16 13:32,Pathology,,CAPT or Flag,2016,,CONUS MTF,,2-4 months,,5,4,5,1st choice,Southern California,Europe,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",Northeast,National Capital Region,"Southeast (North Carolina, Florida)",Middle East or Africa,Resign/Retire,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Sep-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,I,9/13/16 8:01,4,en,9/13/16 7:55,9/13/16 8:01,Aviation Medicine (Flight Surgery GMO),,LT,2014,,CONUS Operational,,< 1 month,,1,1,1,3rd choice,"Pacific (Hawaii, Guam, Japan)",Southern California,"Southeast (North Carolina, Florida)",Pacific Northwest,Europe,"Tidewater Region (Portsmouth, Norfolk)",Northeast,National Capital Region,Middle East or Africa,Clinical Medicine,,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Mar-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,I,8/23/16 13:29,4,en,8/23/16 13:25,8/23/16 13:29,Family Medicine,,CAPT or Flag,2015,,Other,,> 4 months,,3,5,2,1st choice,"Southeast (North Carolina, Florida)",Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Pacific Northwest,Northeast,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Middle East or Africa,Resign/Retire,,No,,No,Something similar to the National Residency Match Program,Jan-17,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,I,8/23/16 13:36,4,en,8/23/16 13:31,8/23/16 13:36,Pathology,,CDR,2012,,CONUS MTF,,2-4 months,,4,4,3,1st choice,Southern California,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,,,,,,,Resign/Retire,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,I,8/23/16 13:43,4,en,8/23/16 13:36,8/23/16 13:43,Pathology,,CAPT or Flag,2016,,CONUS MTF,,Other,1.5 months,5,5,3,1st choice,National Capital Region,Northeast,Pacific Northwest,Southern California,Europe,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Resign/Retire,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,I,8/29/16 11:30,4,en,8/23/16 13:43,8/29/16 11:30,Occupational Medicine,,CDR,2016,,GME,,2-4 months,,5,5,3,1st choice,Europe,"Pacific (Hawaii, Guam, Japan)",National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Southern California,"Southeast (North Carolina, Florida)",Northeast,Pacific Northwest,Middle East or Africa,Undecided,,,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,I,9/13/16 8:46,4,en,9/13/16 8:01,9/13/16 8:46,Aviation Medicine (Flight Surgery GMO),,LT,2015,,CONUS Operational,,2-4 months,,5,4,,2nd choice,National Capital Region,Northeast,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Executive Medicine,,Do not care,Other,Other,Other,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,I,8/23/16 13:55,4,en,8/23/16 13:50,8/23/16 13:55,Dermatology,,LT,2015,,CONUS MTF,,2-4 months,,3,3,3,Other,National Capital Region,"Pacific (Hawaii, Guam, Japan)",Southern California,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Europe,Pacific Northwest,Northeast,Middle East or Africa,Resign/Retire,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Dec-16,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,I,8/23/16 14:17,4,en,8/23/16 13:51,8/23/16 14:17,Dermatology,,LCDR,2016,,CONUS MTF,,2-4 months,,4,3,4,2nd choice,Europe,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,"Southeast (North Carolina, Florida)",National Capital Region,Mixed,,No,Other,No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,I,,1,en,8/23/16 13:52,8/23/16 13:52,Pathology,,LT,2013,,GME,,2-4 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,I,8/23/16 14:04,4,en,8/23/16 13:54,8/23/16 14:04,Pathology,,CAPT or Flag,2015,,CONUS MTF,,2-4 months,,5,5,4,1st choice,National Capital Region,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Europe,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Southern California,Northeast,Middle East or Africa,Resign/Retire,,Yes,Other,Other,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,I,8/23/16 14:16,4,en,8/23/16 14:01,8/23/16 14:16,Family Medicine,,CDR,2015,,OCONUS MTF,,2-4 months,,4,4,5,Other,"Pacific (Hawaii, Guam, Japan)",Europe,Pacific Northwest,Southern California,"Southeast (North Carolina, Florida)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Middle East or Africa,Executive Medicine,,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,I,8/23/16 14:04,4,en,8/23/16 14:01,8/23/16 14:04,Dermatology,,LCDR,2016,,CONUS MTF,,2-4 months,,1,3,,1st choice,Southern California,Northeast,,,,,,,,Clinical Medicine,,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,I,8/23/16 14:09,4,en,8/23/16 14:02,8/23/16 14:09,Family Medicine,,CDR,2016,,Other,,< 1 month,,5,5,5,,National Capital Region,"Southeast (North Carolina, Florida)",Northeast,Europe,Southern California,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Middle East or Africa,Executive Medicine,,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,I,8/23/16 14:21,4,en,8/23/16 14:07,8/23/16 14:21,Family Medicine,,LCDR,2013,,CONUS MTF,,< 1 month,,1,1,,1st choice,"Pacific (Hawaii, Guam, Japan)",Southern California,Pacific Northwest,Europe,"Southeast (North Carolina, Florida)",National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Middle East or Africa,Executive Medicine,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,I,8/23/16 14:15,4,en,8/23/16 14:08,8/23/16 14:15,Dermatology,,CDR,2014,,CONUS MTF,,2-4 months,,5,5,5,1st choice,Southern California,"Southeast (North Carolina, Florida)",National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Academic Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,I,8/23/16 14:14,4,en,8/23/16 14:09,8/23/16 14:14,Family Medicine,,LCDR,2015,,CONUS MTF,,2-4 months,,4,4,3,2nd choice,Europe,Southern California,,,,,,,,Clinical Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Oct-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,I,8/23/16 14:22,4,en,8/23/16 14:09,8/23/16 14:22,General Surgery,,LCDR,2015,,CONUS Operational,,< 1 month,,1,1,,1st choice,National Capital Region,Southern California,"Tidewater Region (Portsmouth, Norfolk)",,,,,,,Clinical Medicine,,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,I,9/13/16 9:26,4,en,9/13/16 9:17,9/13/16 9:26,Aviation Medicine (Flight Surgery GMO),,LT,2014,,CONUS MTF,,2-4 months,,3,4,2,2nd choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Southern California,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Europe,Pacific Northwest,National Capital Region,Northeast,Clinical Medicine,,No,1 tour (~3 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,I,8/23/16 14:24,4,en,8/23/16 14:16,8/23/16 14:24,Dermatology,,LCDR,2016,,CONUS MTF,,2-4 months,,5,3,4,Other,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Pacific Northwest,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,Middle East or Africa,Undecided,,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,I,8/23/16 14:28,4,en,8/23/16 14:18,8/23/16 14:28,Dermatology,,CDR,2016,,CONUS MTF,,2-4 months,,1,1,5,1st choice,Europe,Southern California,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",National Capital Region,Northeast,Middle East or Africa,Clinical Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,I,8/23/16 14:27,4,en,8/23/16 14:18,8/23/16 14:27,Pathology,,LCDR,2015,,CONUS MTF,,2-4 months,,4,4,,1st choice,Southern California,National Capital Region,,,,,,,,Other,Fellowship,No,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,I,8/23/16 14:26,4,en,8/23/16 14:19,8/23/16 14:26,Radiology,,LCDR,2015,,CONUS MTF,,2-4 months,,4,4,4,3rd choice,"Southeast (North Carolina, Florida)",Southern California,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Northeast,National Capital Region,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,I,8/23/16 14:30,4,en,8/23/16 14:25,8/23/16 14:30,Dermatology,,CDR,2016,,CONUS MTF,,2-4 months,,5,4,5,1st choice,National Capital Region,Southern California,Northeast,Europe,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Resign/Retire,,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,I,8/23/16 14:32,4,en,8/23/16 14:28,8/23/16 14:32,Pathology,,CAPT or Flag,2015,,Non-Operational/Non-Clinical,,< 1 month,,3,1,,Other,"Southeast (North Carolina, Florida)",Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Southern California,Pacific Northwest,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Resign/Retire,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,I,8/23/16 14:41,4,en,8/23/16 14:31,8/23/16 14:41,Dermatology,,LCDR,2016,,CONUS MTF,,< 1 month,,2,3,5,3rd choice,Southern California,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Northeast,Pacific Northwest,Europe,National Capital Region,Middle East or Africa,Clinical Medicine,,No,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,I,8/23/16 14:38,4,en,8/23/16 14:31,8/23/16 14:38,OB/GYN,,CAPT or Flag,2015,,CONUS Operational,,2-4 months,,4,5,5,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Europe,National Capital Region,Northeast,Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Resign/Retire,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,I,8/23/16 14:43,4,en,8/23/16 14:38,8/23/16 14:43,Family Medicine,,CAPT or Flag,2015,,CONUS MTF,,2-4 months,,4,4,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,"Southeast (North Carolina, Florida)",,,,,,,Executive Medicine,,Do not care,Other,No,Status Quo: Detailer and Specialty Leader decide,Nov-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,I,8/23/16 14:56,4,en,8/23/16 14:41,8/23/16 14:56,Radiology,,CDR,2014,,CONUS MTF,,2-4 months,,3,3,3,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,Pacific Northwest,Europe,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Southern California,Middle East or Africa,Executive Medicine,,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Jul-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,I,8/23/16 14:54,4,en,8/23/16 14:45,8/23/16 14:54,Pathology,,CDR,2015,,CONUS MTF,,2-4 months,,3,3,3,1st choice,Southern California,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Europe,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Middle East or Africa,Clinical Medicine,,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,I,8/23/16 15:39,4,en,8/23/16 15:18,8/23/16 15:39,Pathology,,CAPT or Flag,2015,,CONUS MTF,,2-4 months,,5,5,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Europe,Northeast,"Southeast (North Carolina, Florida)",Southern California,Middle East or Africa,National Capital Region,Resign/Retire,,No,Other,Other,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,I,8/23/16 15:47,4,en,8/23/16 15:33,8/23/16 15:47,Family Medicine,,LT,2015,,CONUS MTF,,> 4 months,,5,5,,1st choice,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Middle East or Africa,Europe,Southern California,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,Mixed,,Yes,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jul-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,I,8/23/16 15:50,4,en,8/23/16 15:43,8/23/16 15:50,Dermatology,,LCDR,2014,,CONUS MTF,,2-4 months,,3,3,4,2nd choice,Southern California,"Southeast (North Carolina, Florida)",Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Europe,Middle East or Africa,Clinical Medicine,,No,2 tours (~6 years),Yes,Other,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,I,8/23/16 15:53,4,en,8/23/16 15:44,8/23/16 15:53,Pediatrics,,CDR,Other,2010,CONUS MTF,,> 4 months,,5,5,5,2nd choice,Southern California,Europe,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Northeast,Middle East or Africa,National Capital Region,"Southeast (North Carolina, Florida)",Resign/Retire,,Yes,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,I,8/23/16 15:56,4,en,8/23/16 15:49,8/23/16 15:56,Family Medicine,,CDR,2016,,CONUS Operational,,< 1 month,,1,1,1,4th choice,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)",,,,,,,Clinical Medicine,,Do not care,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,I,8/23/16 15:57,4,en,8/23/16 15:52,8/23/16 15:57,Psychiatry,,CAPT or Flag,2015,,GME,USUHS,< 1 month,,5,5,5,Other,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",Pacific Northwest,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Global Health Engagement,,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,I,8/23/16 16:14,4,en,8/23/16 16:00,8/23/16 16:14,Pathology,,CDR,2016,,CONUS MTF,,2-4 months,,4,4,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Southern California,,,,,,,Executive Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,I,8/23/16 16:10,4,en,8/23/16 16:01,8/23/16 16:10,Occupational Medicine,,CDR,2015,,Non-Operational/Non-Clinical,,< 1 month,,5,5,5,1st choice,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,National Capital Region,Europe,Southern California,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Northeast,Mixed,,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,I,8/23/16 16:14,4,en,8/23/16 16:04,8/23/16 16:14,Pediatrics,,LCDR,2012,,CONUS MTF,,< 1 month,,1,1,1,Other,Southern California,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Clinical Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,I,8/23/16 16:09,4,en,8/23/16 16:05,8/23/16 16:09,Dermatology,,LCDR,2014,,Other,,> 4 months,,5,5,5,1st choice,Southern California,Northeast,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Pacific Northwest,National Capital Region,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Undecided,,No,Other,No,Something similar to the National Residency Match Program,Nov-16,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,I,9/13/16 9:41,4,en,9/13/16 9:36,9/13/16 9:41,Aviation Medicine (Flight Surgery GMO),,LT,2015,,CONUS Operational,,< 1 month,,3,3,2,3rd choice,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,"Southeast (North Carolina, Florida)",Pacific Northwest,Northeast,Middle East or Africa,Academic Medicine,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,I,9/13/16 11:15,4,en,9/13/16 11:06,9/13/16 11:15,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS Operational,,< 1 month,,1,1,3,Other,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Southern California,Pacific Northwest,Europe,"Pacific (Hawaii, Guam, Japan)",Northeast,"Southeast (North Carolina, Florida)",Middle East or Africa,Academic Medicine,,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,I,,1,en,8/23/16 16:06,8/23/16 16:06,Pediatrics,,LCDR,2013,,CONUS MTF,,2-4 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,I,8/23/16 16:13,4,en,8/23/16 16:06,8/23/16 16:13,Pediatrics,,LT,2016,,GME,,2-4 months,,2,3,,1st choice,Pacific Northwest,Northeast,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",National Capital Region,Middle East or Africa,Clinical Medicine,,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,I,8/23/16 16:22,4,en,8/23/16 16:06,8/23/16 16:22,Pediatrics,,LT,2015,,CONUS MTF,,> 4 months,,3,3,5,> 4th choice,National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Europe,Middle East or Africa,Southern California,Mixed,,No,Other,No,Other,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,I,,1,en,8/23/16 16:06,8/23/16 16:08,Pediatrics,,LT,2016,,CONUS MTF,,< 1 month,,2,3,4,1st choice,Middle East or Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
